Composition,
Date Added,2006-05-19
Formula,
Grain Size Description,<125.0um
Grain Size,"(0.0, 125.0)"
Locality,"Humira, Iraq"
Minimum Wavelength,630
Sample Name,Alta'ameem (LL5) <125 um
Maximum Wavelength,1540
Database of Origin,RELAB
Other Information,LL5
References,
Resolution,130.0
Material class,Rock
Sample Description,USNM 5964
Sample ID,C4OC10C
Original Sample ID,OC-TXH-010-C
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
630.0,0.29919
760.0,0.29713
890.0,0.21408
1020.0,0.21284
1150.0,0.24775
1280.0,0.2677
1410.0,0.28961
1540.0,0.30658
