Composition,
Date Added,1985-07-29
Formula,
Grain Size Description,<500.0um
Grain Size,0.0 - 500.0
Locality,
Minimum Wavelength,400
Sample Name,RP 19.2 
Maximum Wavelength,800
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,
Sample ID,T3RV02
Original Sample ID,RV-CMP-003
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
400.0,41.43
410.0,42.23
420.0,42.77
430.0,43.33
440.0,44.48
450.0,45.41
460.0,46.43
470.0,46.92
480.0,47.33
490.0,48.23
500.0,48.41
510.0,48.91
520.0,49.56
530.0,50.31
540.0,50.78
550.0,51.75
560.0,52.35
570.0,52.91
580.0,54.05
590.0,55.47
600.0,56.39
610.0,57.35
620.0,58.13
630.0,58.95
640.0,59.8
650.0,60.7
660.0,61.62
670.0,62.47
680.0,63.22
690.0,63.55
700.0,63.9
710.0,64.52
720.0,64.79
730.0,64.9
740.0,65.4
750.0,65.59
760.0,66.02
770.0,65.92
780.0,65.75
790.0,65.8
800.0,65.97
